epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,473.661,1.24497,1.86339,1.38733,0.86851,0.66782,0.73348,0.5245,0.96557,1.68976,1.11034,0.000471372,0.000471372,0.000471372
2,942.35,1.33466,1.64629,1.43744,0.73564,0.63182,0.73914,0.38328,1.44623,1.77232,1.52896,0.00092894,0.00092894,0.00092894
3,1404.74,1.40374,1.65244,1.45164,0.6491,0.74721,0.74925,0.47326,1.08307,2.17539,1.20496,0.00136765,0.00136765,0.00136765
4,1865.57,1.36291,1.51892,1.40699,0.7427,0.70084,0.7595,0.52105,0.94487,1.35789,1.11527,0.00134412,0.00134412,0.00134412
5,2329.47,1.31559,1.45499,1.38139,0.74156,0.76998,0.78846,0.47236,1.28579,1.24078,1.43289,0.00131582,0.00131582,0.00131582
6,2788.91,1.31374,1.45519,1.39616,0.89871,0.69683,0.82968,0.58954,1.04372,1.10318,1.1439,0.00128753,0.00128753,0.00128753
7,3248.82,1.28206,1.40646,1.34714,0.80727,0.75737,0.85826,0.67408,0.87287,0.90994,1.10329,0.00125923,0.00125923,0.00125923
8,3709.67,1.21155,1.32523,1.31493,0.73767,0.77568,0.83628,0.64547,0.83953,1.01501,1.09021,0.00123094,0.00123094,0.00123094
9,4171.26,1.1886,1.35807,1.30664,0.80021,0.85944,0.91101,0.70771,0.74503,0.87894,1.02774,0.00120265,0.00120265,0.00120265
10,4632.45,1.1648,1.29892,1.29448,0.96013,0.79875,0.91717,0.74647,0.70075,0.79195,1.0196,0.00117435,0.00117435,0.00117435
11,5092.43,1.16906,1.27795,1.3114,0.87499,0.8049,0.88937,0.69892,0.78572,0.85638,1.05844,0.00114606,0.00114606,0.00114606
12,5552.61,1.14829,1.18973,1.27968,0.84527,0.81765,0.85396,0.70543,0.66714,0.91977,0.95853,0.00111776,0.00111776,0.00111776
13,6012.98,1.07773,1.16428,1.24466,0.79438,0.81993,0.88406,0.71852,0.73431,0.76688,1.01788,0.00108947,0.00108947,0.00108947
14,6473.32,1.07794,1.17989,1.25613,0.82178,0.91193,0.95245,0.78396,0.69309,0.68604,0.982,0.00106118,0.00106118,0.00106118
15,6934.92,1.01467,1.13737,1.24239,0.8877,0.91608,0.94493,0.80026,0.6258,0.62134,0.94801,0.00103288,0.00103288,0.00103288
16,7395.14,1.0611,1.12747,1.23785,0.69082,0.84385,0.81553,0.65253,0.77205,0.99436,1.0587,0.00100459,0.00100459,0.00100459
17,7855.58,1.00714,1.04058,1.20603,0.90373,0.83305,0.9131,0.77344,0.64185,0.67407,0.96561,0.000976293,0.000976293,0.000976293
18,8317.38,1.00386,1.03626,1.20658,0.91373,0.84002,0.91559,0.76741,0.71015,0.7077,1.00039,0.000947999,0.000947999,0.000947999
19,8780.52,1.01343,1.03483,1.22435,0.91722,0.88259,0.93017,0.77068,0.67974,0.63067,0.98152,0.000919704,0.000919704,0.000919704
20,9244.86,0.95115,1.00655,1.19389,0.90551,0.84252,0.93204,0.79829,0.6277,0.59943,0.98689,0.00089141,0.00089141,0.00089141
21,9706.04,0.95648,0.95558,1.18473,0.84262,0.85505,0.90678,0.73865,0.65894,0.64918,0.95838,0.000863116,0.000863116,0.000863116
22,10164.8,0.95651,0.9859,1.19421,0.92251,0.85839,0.9096,0.78536,0.58421,0.6383,0.93014,0.000834822,0.000834822,0.000834822
23,10621.3,0.93934,0.9502,1.1752,0.88665,0.86853,0.90779,0.78299,0.60471,0.56966,0.95693,0.000806528,0.000806528,0.000806528
24,11079.6,0.93741,0.92003,1.18206,0.9088,0.86853,0.91867,0.78462,0.60916,0.55847,0.97894,0.000778233,0.000778233,0.000778233
25,11537.7,0.93776,0.92454,1.18615,0.90629,0.88255,0.93367,0.80274,0.60747,0.56586,0.97691,0.000749939,0.000749939,0.000749939
26,11997.4,0.89895,0.88266,1.16106,0.8864,0.89215,0.9095,0.77483,0.62402,0.57877,0.97196,0.000721645,0.000721645,0.000721645
27,12455.5,0.89465,0.89145,1.16146,0.89759,0.92149,0.93779,0.81847,0.59934,0.51607,0.93159,0.000693351,0.000693351,0.000693351
28,12914,0.90002,0.8844,1.16925,0.9436,0.87867,0.92494,0.81816,0.55801,0.50342,0.93362,0.000665057,0.000665057,0.000665057
29,13372.6,0.84971,0.81871,1.12498,0.95139,0.86206,0.90957,0.79361,0.57984,0.59479,0.94606,0.000636762,0.000636762,0.000636762
30,13833.1,0.83827,0.80932,1.12425,0.95052,0.88776,0.90892,0.77052,0.60682,0.60604,0.97594,0.000608468,0.000608468,0.000608468
31,14293.2,0.84595,0.79799,1.13065,0.97152,0.89236,0.94782,0.82629,0.54624,0.50126,0.93762,0.000580174,0.000580174,0.000580174
32,14755.1,0.8233,0.80433,1.11594,0.95269,0.89009,0.95085,0.82619,0.59563,0.47896,0.98256,0.00055188,0.00055188,0.00055188
33,15214.6,0.85049,0.79142,1.12958,0.95953,0.89685,0.93641,0.83123,0.52989,0.48454,0.92395,0.000523586,0.000523586,0.000523586
34,15673.6,0.81734,0.74956,1.11509,0.95107,0.90105,0.93101,0.82736,0.55517,0.52568,0.94744,0.000495291,0.000495291,0.000495291
35,16134.1,0.798,0.71072,1.09069,0.91295,0.88881,0.9223,0.83228,0.55513,0.49111,0.96375,0.000466997,0.000466997,0.000466997
36,16592.1,0.76678,0.69726,1.07747,0.96139,0.87411,0.93539,0.81305,0.54989,0.52008,0.93967,0.000438703,0.000438703,0.000438703
37,17049.7,0.76267,0.69952,1.09983,0.89166,0.89614,0.91514,0.81617,0.51679,0.49172,0.92343,0.000410409,0.000410409,0.000410409
38,17513.5,0.75698,0.70414,1.09146,0.91263,0.87762,0.92155,0.81418,0.54372,0.49199,0.9481,0.000382115,0.000382115,0.000382115
39,17977.6,0.75752,0.67221,1.08608,0.93412,0.90887,0.93636,0.82878,0.53774,0.45225,0.95862,0.00035382,0.00035382,0.00035382
40,18438.7,0.7504,0.67791,1.09559,0.939,0.85873,0.92279,0.80813,0.56758,0.51041,0.96631,0.000325526,0.000325526,0.000325526
41,18896.8,0.6864,0.5995,1.03987,0.93945,0.84126,0.92635,0.80681,0.53339,0.46685,0.96689,0.000297232,0.000297232,0.000297232
42,19357.1,0.63606,0.56806,1.00094,0.96284,0.82203,0.92043,0.80519,0.54165,0.55266,0.93034,0.000268938,0.000268938,0.000268938
43,19816.1,0.6321,0.51743,0.99606,0.86312,0.92876,0.92185,0.83978,0.50864,0.48853,0.93752,0.000240644,0.000240644,0.000240644
44,20276.6,0.63052,0.50334,0.99741,0.90794,0.92504,0.94918,0.84945,0.48041,0.43709,0.90901,0.000212349,0.000212349,0.000212349
45,20736.4,0.59673,0.48761,0.98241,0.93876,0.89468,0.93067,0.8553,0.47091,0.45566,0.90941,0.000184055,0.000184055,0.000184055
46,21195.4,0.58663,0.47067,0.98162,0.92385,0.9081,0.94086,0.84691,0.47502,0.42124,0.90819,0.000155761,0.000155761,0.000155761
47,21655.1,0.58831,0.46434,0.97119,0.93995,0.92517,0.941,0.85897,0.44613,0.4119,0.89658,0.000127467,0.000127467,0.000127467
48,22114.7,0.56402,0.42659,0.9694,0.93445,0.92457,0.9378,0.85617,0.44589,0.41242,0.89948,9.91726e-05,9.91726e-05,9.91726e-05
49,22576.7,0.54179,0.41343,0.95643,0.93786,0.91225,0.93347,0.8592,0.4358,0.41504,0.89648,7.08784e-05,7.08784e-05,7.08784e-05
50,23040.1,0.54835,0.40604,0.95045,0.93312,0.91608,0.93055,0.86354,0.44073,0.42414,0.89963,4.25842e-05,4.25842e-05,4.25842e-05
